年月,行業別,張數,張數百分比(佔公司戶),金額,金額百分比(佔公司戶)
11412,Ｃ：製造業,1248663,38.08,206235947010,21.61
11412,Ｄ：電力及燃氣供應業,29960,0.91,19800003918,2.08
11412,Ｅ：用水供應及污染整治業,18004,0.55,3336251544,0.35
11412,Ｆ：營建工程業,460914,14.06,101563144459,10.64
11412,Ｇ：批發及零售業,511694,15.61,83090349841,8.71
11412,Ｈ：運輸及倉儲業,180418,5.50,14230863450,1.49
11412,Ｉ：住宿及餐飲業,32772,1.00,2814439900,0.29
11412,Ｊ：出版影音及資通訊業,26927,0.82,4572240678,0.48
11412,Ｋ：金融及保險業,93731,2.86,328115122180,34.39
11412,Ｌ：不動產業,78936,2.41,31218624366,3.27
11412,Ｍ：專業、科學及技術服務業,226487,6.91,35739869543,3.75
11412,Ｎ：支援服務業,85280,2.60,14453003292,1.51
11412,Ｏ：公共行政及國防；強制性社會安全,98,0.00,6136563,0.00
11412,Ｐ：教育業,404,0.01,47334964,0.00
11412,Ｑ：醫療保健及社會工作服務業,39,0.00,1698288,0.00
11412,Ｒ：藝術、娛樂及休閒服務業,6990,0.21,777830428,0.08
11412,Ｓ：其他服務業,20975,0.64,2219748072,0.23
11412,Ｘ：不能歸類之行業,178554,5.45,85856929112,9.02


