年月,行業別,張數,張數百分比(佔公司戶),金額,金額百分比(佔公司戶)
11308,Ｐ：教育業,360,0.01,41919450,0.01
11308,Ｑ：醫療保健及社會工作服務業,38,0.00,1720916,0.00
11308,Ｒ：藝術、娛樂及休閒服務業,4615,0.18,609093990,0.07
11308,Ｓ：其他服務業,14445,0.58,1770677010,0.21
11308,Ｘ：不能歸類之行業,172847,6.88,76973804215,9.31
11309,Ａ：農、林、漁、牧業,49106,1.41,11273496109,1.20
11309,Ｂ：礦業及土石採取業,27166,0.78,7045424864,0.75
11309,Ｃ：製造業,1316625,37.68,205922837129,21.95
11309,Ｄ：電力及燃氣供應業,27842,0.80,19921626446,2.12
11309,Ｅ：用水供應及污染整治業,19084,0.55,2087402873,0.22
11309,Ｆ：營建工程業,473233,13.54,101314440537,10.80
11309,Ｇ：批發及零售業,559536,16.01,106106903672,11.31
11309,Ｈ：運輸及倉儲業,182117,5.21,16748698775,1.78
11309,Ｉ：住宿及餐飲業,34140,0.98,2918232393,0.31
11309,Ｊ：出版影音及資通訊業,32927,0.94,4703336615,0.50
11309,Ｋ：金融及保險業,128229,3.67,299458354153,31.91
11309,Ｌ：不動產業,84715,2.42,31269833491,3.33
11309,Ｍ：專業、科學及技術服務業,242876,6.95,35498236118,3.78
11309,Ｎ：支援服務業,86140,2.47,14368307005,1.53
11309,Ｏ：公共行政及國防；強制性社會安全,234,0.01,12103408,0.00
11309,Ｐ：教育業,488,0.01,70760284,0.01
11309,Ｑ：醫療保健及社會工作服務業,78,0.00,6014920,0.00
11309,Ｒ：藝術、娛樂及休閒服務業,6114,0.17,787213028,0.08
11309,Ｓ：其他服務業,21909,0.63,2418940913,0.26
11309,Ｘ：不能歸類之行業,201799,5.77,76373586701,8.16
11310,Ａ：農、林、漁、牧業,32391,1.38,8450151517,1.15
11310,Ｂ：礦業及土石採取業,18740,0.80,5065866418,0.69
11310,Ｃ：製造業,829252,35.35,137559631223,18.72
11310,Ｄ：電力及燃氣供應業,22204,0.95,18580642015,2.53
11310,Ｅ：用水供應及污染整治業,11826,0.50,1357519135,0.18
11310,Ｆ：營建工程業,312425,13.32,74810326996,10.18
11310,Ｇ：批發及零售業,350738,14.95,66316599882,9.03
11310,Ｈ：運輸及倉儲業,156829,6.68,11972138156,1.63
11310,Ｉ：住宿及餐飲業,22260,0.95,2046386243,0.28
11310,Ｊ：出版影音及資通訊業,21926,0.93,3214762600,0.44
11310,Ｋ：金融及保險業,101544,4.33,273170688450,37.18
11310,Ｌ：不動產業,69759,2.97,28560207914,3.89
11310,Ｍ：專業、科學及技術服務業,155402,6.62,22714881778,3.09
11310,Ｎ：支援服務業,68085,2.90,11506077531,1.57
11310,Ｏ：公共行政及國防；強制性社會安全,105,0.00,4461573,0.00
11310,Ｐ：教育業,359,0.02,46162183,0.01
11310,Ｑ：醫療保健及社會工作服務業,32,0.00,1760210,0.00
11310,Ｒ：藝術、娛樂及休閒服務業,4373,0.19,715431228,0.10
11310,Ｓ：其他服務業,13910,0.59,1638231645,0.22
11310,Ｘ：不能歸類之行業,153952,6.57,67054641911,9.11
11311,Ａ：農、林、漁、牧業,40613,1.43,9688721436,1.16
11311,Ｂ：礦業及土石採取業,22218,0.78,5912027212,0.71
11311,Ｃ：製造業,1053654,37.11,166292144670,19.98
11311,Ｄ：電力及燃氣供應業,27161,0.96,18757200132,2.25
11311,Ｅ：用水供應及污染整治業,15084,0.53,8352620211,1.00
11311,Ｆ：營建工程業,380893,13.41,81916473767,9.84
11311,Ｇ：批發及零售業,446876,15.74,75664754934,9.09
11311,Ｈ：運輸及倉儲業,174560,6.15,15438531194,1.85
11311,Ｉ：住宿及餐飲業,27380,0.96,2398957421,0.29
11311,Ｊ：出版影音及資通訊業,24437,0.86,3729552265,0.45
11311,Ｋ：金融及保險業,87736,3.09,299348061437,35.96
11311,Ｌ：不動產業,75665,2.66,27586451527,3.31
11311,Ｍ：專業、科學及技術服務業,194697,6.86,28004491920,3.36
11311,Ｎ：支援服務業,77226,2.72,12847295062,1.54
11311,Ｏ：公共行政及國防；強制性社會安全,152,0.01,8197005,0.00
11311,Ｐ：教育業,363,0.01,54059162,0.01
11311,Ｑ：醫療保健及社會工作服務業,49,0.00,2146668,0.00
